,,Terminliste  2020,

29. März,,Am Rhein zwischen Merkenich und Hitdorf,
,,"Rundwanderung am Rhein; ca. 11 km, leicht",
,,"Claus-Dieter Müller-Scholten - Erlebniswanderungen, Droste-Verlag 2012",
,,Wanderführer: Hansjörg Schneider,


26. April,,Ins Neanderthal,
,,"Rundwanderung bei Mettmann, ca 9 km",
,,"Peter Squentz, Tippeltouren Band 10, J. B. Bachem-Verlag 2008",
,,Anreise mit DB oder Charterbus; Wanderführerin: Andrea Spahn,


31. Mai,,Über die Dünnwalder Seenplatte,
,,"Rundwanderung im Kölner Osten, ca 7 km; Feierabend-Touren Bd. 1",
,,"Steffi Machnik, J.B. Bachem-Verlag 2012, Anreise mit KVB",
,,Wanderführerin: Andrea Spahn,


20. Juni,Sam.,Rund um St. Pantaleon,
,,Stadtführung mit Thomas Schmidt,
,,Anreise mit KVB - Ende: Reissdorf am Griechenmarkt,


26. Juli,,Auf den Spuren von Wolfgang Bosbach,
,,"Strecken- oder Rundwanderung bei Bergisch Gladbach, ca. 9 km",
,,"Magazin des Kölner Stadtanzeigers, Wanderführer: Hansjörg Schneider",
,,Anreise mit KVB/DB,


16. August,,Brunch,
,,Sonderveranstaltung mit Kostenbeteiligung,
,,"ab 11:00 Uhr, Pfarrgarten von St. Brictius, Köln-Merkenich",


24.-27. Aug.,,Vereinsreise,
,,Ziel wird auf der Spartenversammlung beschlossen,



27. September,,Nach Benroth bei Waldbröl,
,,"Rundwanderung bei Waldbröl , ca. 9 km, leicht bis mittel, Anreise mit Charterbus",
,,"Peter Squentz, Tippeltouren Band 10, J.P. Bachem Verlag, Köln 2008",
,,Wanderführerin: Andrea Spahn,


25. Oktober,,Durch den Bonner Hofgarten,
,,"Stadtspaziergang in Bonn, ca 5-8 km, Anreise mit KVB/DB",
,,"eigene Planung, Wanderführerin: Andrea Spahn",


24. o. 29. Nov.,Die.,Adventsfahrt,
,,kostenpflichtige Sonderveranstaltung; Anreise mit ÖPNV o. Charterbus,
,,Ziel wird auf der Spartenversammlung beschlossen.,


12. Dezember,Sam.,Spartenversammlung mit Weihnachtsfeier ,
,,"Sonderveranstaltung mit Kostenbeteiligung, ",
,,"ab 16:00 Uhr, Veranstaltungsort steht noch nicht fest.",


,,Änderungen vorbehalten,

,,Bearbeitungsstand:,2/16/2020
